MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,MEDIAN_INCOME
11223,Gravesend/Homecrest,Brooklyn,54023.00
11224,Brighton Beach/Coney Island/Seagate,Brooklyn,32549.00
11225,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,59820.00
11226,Flatbush/Prospect Lefferts Gardens,Brooklyn,58257.00
11228,Bath Beach/Dyker Heights,Brooklyn,72902.00
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,64631.00
11230,Midwood,Brooklyn,53070.00
11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,99643.00
11232,Sunset Park,Brooklyn,61200.00
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,44905.00
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,85807.00
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,54646.00
11236,Canarsie,Brooklyn,70793.00
11237,Bushwick/East Williamsburg,Brooklyn,53303.00
11238,Clinton Hill/Prospect Heights,Brooklyn,91846.00
11239,East New York,Brooklyn,29172.00
11354,Flushing/Murray Hill,Queens,40786.00
11355,Flushing/Murray Hill/Queensboro Hill,Queens,42507.00
11356,College Point,Queens,61859.00
11357,Whitestone,Queens,85818.00
11358,Auburndale/Murray Hill,Queens,68848.00
11360,Bayside (North),Queens,83063.00
11361,Bayside (North)/Bayside (South),Queens,87892.00
11362,Douglaston-Little Neck,Queens,93333.00
11363,Douglaston-Little Neck,Queens,101019.00
11364,Bayside (South)/Oakland Gardens,Queens,82028.00
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,67642.00
11366,Fresh Meadows/Hillcrest,Queens,84301.00
11367,Kew Gardens Hills/Pomonok,Queens,63546.00
11368,Corona/North Corona,Queens,54211.00
11369,Airport/East Elmhurst,Queens,54184.00
11370,Jackson Heights/Rikers Island,Queens,63706.00
11372,Jackson Heights,Queens,60659.00
11373,Elmhurst,Queens,54584.00
11374,Rego Park,Queens,66795.00
11375,Forest Hills,Queens,84713.00
11377,Woodside,Queens,58948.00
11378,Maspeth,Queens,77710.00
11379,Middle Village,Queens,83883.00
11385,Glendale/Ridgewood,Queens,75340.00
11411,Cambria Heights,Queens,98207.00
11412,St. Albans,Queens,81608.00
11413,Laurelton/Rosedale,Queens,93432.00
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,75471.00
11415,Kew Gardens,Queens,70900.00
11416,Ozone Park,Queens,73370.00
11417,Ozone Park,Queens,76868.00
11418,Richmond Hill,Queens,68920.00
11419,Richmond Hill/South Ozone Park,Queens,75835.00
11420,South Ozone Park,Queens,79273.00
11421,Woodhaven,Queens,73107.00
11422,Rosedale,Queens,88130.00
11423,Hollis/Holliswood,Queens,71194.00
11426,Bellerose,Queens,98987.00
11427,Bellerose/Hollis Hills/Holliswood,Queens,79385.00
11428,Queens Village,Queens,78368.00
11429,Queens Village,Queens,88300.00
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,62148.00
11433,Jamaica,Queens,54253.00
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,64087.00
11435,Briarwood/Jamaica,Queens,66137.00
11436,South Jamaica/South Ozone Park,Queens,75222.00
11691,Edgemere/Far Rockaway,Queens,50267.00
11692,Arverne/Edgemere,Queens,46819.00
11693,Arverne/Broad Channel,Queens,60569.00
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,84485.00
11697,Breezy Point,Queens,105750.00
